window,byte,true_key_hex,PGE,true_r,best_wrong_r,recovered
full,0,0x2b,54,0.0232,0.0366,0
full,1,0x7e,158,0.0186,0.0321,0
full,2,0x15,63,0.0217,0.0297,0
full,3,0x16,153,0.0195,0.0346,0
full,4,0x28,33,0.0251,0.0333,0
full,5,0xae,134,0.0199,0.0377,0
full,6,0xd2,175,0.0182,0.0334,0
full,7,0xa6,179,0.0179,0.0350,0
full,8,0xab,4,0.0307,0.0338,0
full,9,0xf7,252,0.0144,0.0396,0
full,10,0x15,77,0.0225,0.0336,0
full,11,0x88,160,0.0191,0.0350,0
full,12,0x09,186,0.0180,0.0358,0
full,13,0xcf,230,0.0151,0.0309,0
full,14,0x4f,154,0.0198,0.0362,0
full,15,0x3c,126,0.0203,0.0322,0
focus18-72,0,0x2b,247,0.0119,0.0330,0
focus18-72,1,0x7e,114,0.0186,0.0285,0
focus18-72,2,0x15,216,0.0134,0.0270,0
focus18-72,3,0x16,188,0.0158,0.0338,0
focus18-72,4,0x28,21,0.0251,0.0333,0
focus18-72,5,0xae,158,0.0165,0.0377,0
focus18-72,6,0xd2,120,0.0182,0.0313,0
focus18-72,7,0xa6,181,0.0156,0.0331,0
focus18-72,8,0xab,0,0.0307,0.0287,1
focus18-72,9,0xf7,221,0.0144,0.0396,0
focus18-72,10,0x15,49,0.0225,0.0322,0
focus18-72,11,0x88,114,0.0191,0.0342,0
focus18-72,12,0x09,156,0.0172,0.0358,0
focus18-72,13,0xcf,192,0.0151,0.0303,0
focus18-72,14,0x4f,90,0.0198,0.0339,0
focus18-72,15,0x3c,139,0.0178,0.0322,0
